NAME;TblName;Combine;LOB;ULAE;d;a;nbara;ALAE;nbarc;Trend_date;c;risk_parm;Trend_factor; 100 000 ; 250 000 ; 300 000 ; 400 000 ; 500 000 ; 750 000 ; 1 000 000 ; 1 500 000 ; 2 000 000 ; 2 500 000 ; 3 000 000 ; 5 000 000 ; 7 500 000 ; 10 000 000 ;Mean1;Mean2;Mean3;Mean4;Mean5;Mean6;Mean7;Mean8;Mean9;Mean10;Mean11;Mean12;Wt1;Wt2;Wt3;Wt4;Wt5;Wt6;Wt7;Wt8;Wt9;Wt10;Wt11;Wt12;;
STATE GROUP 1 ALL OTHER;STATE_GROUP_1_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 L & M;STATE_GROUP_2_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 HEAVY;STATE_GROUP_2_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 X-HEAVY;STATE_GROUP_2_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 ZONE RATED;STATE_GROUP_2_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 ALL OTHER;STATE_GROUP_2_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 L & M;STATE_GROUP_3_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 HEAVY;STATE_GROUP_3_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 X-HEAVY;STATE_GROUP_3_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 ZONE RATED;STATE_GROUP_3_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 ALL OTHER;STATE_GROUP_3_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 L & M;STATE_GROUP_4_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 HEAVY;STATE_GROUP_4_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 X-HEAVY;STATE_GROUP_4_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 ZONE RATED;STATE_GROUP_4_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 ALL OTHER;STATE_GROUP_4_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 L & M;STATE_GROUP_5_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 HEAVY;STATE_GROUP_5_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 X-HEAVY;STATE_GROUP_5_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 ZONE RATED;STATE_GROUP_5_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 ALL OTHER;STATE_GROUP_5_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 L & M;STATE_GROUP_6_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 HEAVY;STATE_GROUP_6_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 X-HEAVY;STATE_GROUP_6_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 ZONE RATED;STATE_GROUP_6_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 ALL OTHER;STATE_GROUP_6_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 L & M;STATE_GROUP_7_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 HEAVY;STATE_GROUP_7_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 X-HEAVY;STATE_GROUP_7_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 ZONE RATED;STATE_GROUP_7_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 ALL OTHER;STATE_GROUP_7_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 L & M;STATE_GROUP_8_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 HEAVY;STATE_GROUP_8_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 X-HEAVY;STATE_GROUP_8_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 ZONE RATED;STATE_GROUP_8_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 ALL OTHER;STATE_GROUP_8_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
